Website,Field,Status
Healthcare_Intake,Phone_number,Can_ask
Healthcare_Intake,DOB,Can_ask
Healthcare_Intake,Home_address,Can_ask
Healthcare_Intake,Health_medical_history,Can_ask
Healthcare_Intake,Insurance_id_number,Can_ask
Healthcare_Intake,Financial_details_beyond_copay,Flagged
Healthcare_Intake,Unrelated_employment_details,Flagged
Healthcare_Intake,Full_government_id,Flagged
Financial_Services,Full_name,Can_ask
Financial_Services,Email_address,Can_ask
Financial_Services,Phone_number,Can_ask
Financial_Services,Home_address,Can_ask
Financial_Services,DOB,Can_ask
Financial_Services,Government_id_number,Can_ask
Financial_Services,Financial_details,Can_ask
Financial_Services,Employment_income_verification,Can_ask
Financial_Services,Health_Information,Flagged
Government_Sites,Full_name,Can_ask
Government_Sites,Email_address,Can_ask
Government_Sites,Home_address,Can_ask
Government_Sites,DOB,Can_ask
Government_Sites,Government_id_number,Can_ask
Government_Sites,Financial_details_beyond_service,Flagged
Government_Sites,Health_Information_unless_required,Flagged
Real_Estate_Rental_Application,Full_name,Can_ask
Real_Estate_Rental_Application,Email_address,Can_ask
Real_Estate_Rental_Application,Phone_number,Can_ask
Real_Estate_Rental_Application,Current_address,Can_ask
Real_Estate_Rental_Application,Employment_details,Can_ask
Real_Estate_Rental_Application,Income_financial_details,Can_ask
Real_Estate_Rental_Application,Government_id_ssn_pre_lease,Flagged
Real_Estate_Rental_Application,Health_Information,Flagged
Real_Estate_Rental_Application,Full_bank_account_numbers,Flagged
Travel_Booking,Full_name,Can_ask
Travel_Booking,Email_address,Can_ask
Travel_Booking,Phone_number,Can_ask
Travel_Booking,DOB,Can_ask
Travel_Booking,Home_address,Can_ask
Travel_Booking,Payment_card_details,Can_ask
Travel_Booking,Passport_government_id_domestic,Flagged
Travel_Booking,Health_Information,Flagged
Insurance_Application,Full_name,Can_ask
Insurance_Application,Email_address,Can_ask
Insurance_Application,Phone_number,Can_ask
Insurance_Application,Home_address,Can_ask
Insurance_Application,DOB,Can_ask
Insurance_Application,Health_Information,Can_ask
Insurance_Application,Financial_details,Can_ask
Insurance_Application,Government_id_at_quote_stage,Flagged
Insurance_Application,Unrelated_employment_history,Flagged
Event_Ticketing,Full_name,Can_ask
Event_Ticketing,Email_address,Can_ask
Event_Ticketing,Phone_number,Can_ask
Event_Ticketing,Payment_card_details,Can_ask
Event_Ticketing,Home_address,Flagged
Event_Ticketing,DOB,Flagged
Event_Ticketing,Government_id_number,Flagged
Event_Ticketing,Health_Information,Flagged
Subscription_Free_Trial,Full_name,Can_ask
Subscription_Free_Trial,Email_address,Can_ask
Subscription_Free_Trial,Payment_card_details,Can_ask
Subscription_Free_Trial,Government_id_number,Flagged
Subscription_Free_Trial,Home_address,Flagged
Subscription_Free_Trial,Health_Information,Flagged
Subscription_Free_Trial,DOB,Flagged
Dating_App_Signup,Full_name_display_name,Can_ask
Dating_App_Signup,Email_address,Can_ask
Dating_App_Signup,DOB,Can_ask
Dating_App_Signup,Gender_preferences,Can_ask
Dating_App_Signup,Government_id_number,Flagged
Dating_App_Signup,Financial_card_details,Flagged
Dating_App_Signup,Home_address,Flagged
Dating_App_Signup,Health_Information,Flagged
Password_Reset,Email_username,Can_ask
Password_Reset,Phone_number_otp_only,Can_ask
Password_Reset,Home_address,Flagged
Password_Reset,DOB,Flagged
Password_Reset,Government_id_number,Flagged
Password_Reset,Financial_card_details,Flagged
Password_Reset,Health_Information,Flagged
Crypto_Exchange_KYC,Full_name,Can_ask
Crypto_Exchange_KYC,Email_address,Can_ask
Crypto_Exchange_KYC,Phone_number,Can_ask
Crypto_Exchange_KYC,Home_address,Can_ask
Crypto_Exchange_KYC,DOB,Can_ask
Crypto_Exchange_KYC,Government_id_number,Can_ask
Crypto_Exchange_KYC,Financial_details,Can_ask
Crypto_Exchange_KYC,Proof_of_address_document,Can_ask
Crypto_Exchange_KYC,Health_Information,Flagged
Crypto_Exchange_KYC,Unrelated_employment_details,Flagged

